task_id,metric,model_a,model_b,n_items,n_clusters,estimate_a_minus_b_100,ci95_low_100,ci95_high_100,p_raw,p_holm,family_id,family_size,test,a_correct_b_wrong,a_wrong_b_correct,bootstrap_resamples,signflip_resamples,significant_holm_0_05
classification,macro_f1,Baichuan2-7B-Chat,chatglm3-6b,100,100,-3.7312551330492147,-11.140965476417772,3.6539909283272554,0.33036696330366966,1.0,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,False
classification,macro_f1,Baichuan2-7B-Chat,deepseek-llm-7b-chat,100,100,-14.96839461694195,-24.240644762374828,-4.793084696765857,0.0024997500249975004,0.044995500449955005,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,Baichuan2-7B-Chat,DeepSeek-R1-Distill-Qwen-32B,100,100,-62.86937628530329,-71.57681539797616,-52.32208891208528,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,Baichuan2-7B-Chat,glm-4-9b-chat,100,100,-53.33777182321755,-63.44183582454579,-41.34290184338608,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,Baichuan2-7B-Chat,internlm2_5-7b-chat,100,100,-51.808570124581564,-61.46963540711143,-40.04254034844994,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,Baichuan2-7B-Chat,Mistral-7B-Instruct-v0.3,100,100,-30.80900642360816,-40.637491006988455,-19.35409556628307,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,Baichuan2-7B-Chat,Qwen2.5-7B-Instruct,100,100,-41.85348400920838,-52.113399693701545,-29.824687196260914,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,Baichuan2-7B-Chat,Qwen3-8B-NonThinking,100,100,-45.12871409544324,-53.766561697008164,-34.429798617458765,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,Baichuan2-7B-Chat,QwQ-32B,100,100,-68.21309626685319,-77.2433494990899,-57.402837263371076,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,Baichuan2-7B-Chat,Doubao,100,100,-73.10124755066738,-82.37109699156477,-62.34554404808485,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,chatglm3-6b,deepseek-llm-7b-chat,100,100,-11.237139483892733,-20.804793771948727,-1.0165279131660856,0.026997300269973004,0.3779622037796221,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,False
classification,macro_f1,chatglm3-6b,DeepSeek-R1-Distill-Qwen-32B,100,100,-59.13812115225407,-67.91913988658864,-48.7270980876751,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,chatglm3-6b,glm-4-9b-chat,100,100,-49.60651669016834,-59.782408446342174,-38.034741526378774,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,chatglm3-6b,internlm2_5-7b-chat,100,100,-48.077314991532354,-56.787995066934336,-38.063065768287295,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,chatglm3-6b,Mistral-7B-Instruct-v0.3,100,100,-27.077751290558943,-36.76233623288133,-16.409121686753988,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,chatglm3-6b,Qwen2.5-7B-Instruct,100,100,-38.12222887615916,-45.95443879506283,-28.435194182953406,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,chatglm3-6b,Qwen3-8B-NonThinking,100,100,-41.397458962394026,-50.303838885477184,-30.765963190974034,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,chatglm3-6b,QwQ-32B,100,100,-64.48184113380397,-73.6658443003092,-54.29479020729755,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,chatglm3-6b,Doubao,100,100,-69.36999241761816,-78.63621864344756,-59.454790809595494,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,deepseek-llm-7b-chat,DeepSeek-R1-Distill-Qwen-32B,100,100,-47.90098166836135,-59.02139659897983,-36.10129265400569,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,deepseek-llm-7b-chat,glm-4-9b-chat,100,100,-38.36937720627561,-49.16115105301847,-27.51451438113557,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,deepseek-llm-7b-chat,internlm2_5-7b-chat,100,100,-36.84017550763962,-47.824927605448195,-25.540563137844334,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,deepseek-llm-7b-chat,Mistral-7B-Instruct-v0.3,100,100,-15.84061180666621,-26.281079712570875,-4.996325431226102,0.0036996300369963003,0.0628937106289371,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,False
classification,macro_f1,deepseek-llm-7b-chat,Qwen2.5-7B-Instruct,100,100,-26.88508939226643,-37.54186857013918,-15.565489302134836,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,deepseek-llm-7b-chat,Qwen3-8B-NonThinking,100,100,-30.16031947850129,-40.441019437566354,-18.816929388372134,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,deepseek-llm-7b-chat,QwQ-32B,100,100,-53.24470164991124,-64.43214447694434,-41.92176778380105,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,deepseek-llm-7b-chat,Doubao,100,100,-58.13285293372543,-69.22108832744156,-47.13638328016073,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,DeepSeek-R1-Distill-Qwen-32B,glm-4-9b-chat,100,100,9.531604462085742,-1.6293996006562876,20.418776138695943,0.0932906709329067,0.7367263273672633,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,False
classification,macro_f1,DeepSeek-R1-Distill-Qwen-32B,internlm2_5-7b-chat,100,100,11.060806160721725,0.3156593165874192,22.148705432624855,0.0471952804719528,0.5037496250374962,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,False
classification,macro_f1,DeepSeek-R1-Distill-Qwen-32B,Mistral-7B-Instruct-v0.3,100,100,32.060369861695136,20.13268548746589,43.837226274666776,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,DeepSeek-R1-Distill-Qwen-32B,Qwen2.5-7B-Instruct,100,100,21.015892276094917,9.682936451191098,32.58990924269577,0.0005999400059994001,0.012598740125987402,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,DeepSeek-R1-Distill-Qwen-32B,Qwen3-8B-NonThinking,100,100,17.740662189860057,7.399350637365161,28.602989054283967,0.0008999100089991,0.017998200179982,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,DeepSeek-R1-Distill-Qwen-32B,QwQ-32B,100,100,-5.343719981549889,-15.3390015778264,3.923017992322718,0.26877312268773124,1.0,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,False
classification,macro_f1,DeepSeek-R1-Distill-Qwen-32B,Doubao,100,100,-10.23187126536409,-20.925378613431583,-0.6031994546676019,0.051394860513948606,0.5037496250374962,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,False
classification,macro_f1,glm-4-9b-chat,internlm2_5-7b-chat,100,100,1.5292016986359847,-8.614078916991394,11.617887927442029,0.767023297670233,1.0,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,False
classification,macro_f1,glm-4-9b-chat,Mistral-7B-Instruct-v0.3,100,100,22.528765399609398,11.225631704797616,34.04098010218667,0.00029997000299970003,0.0065993400659934,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,glm-4-9b-chat,Qwen2.5-7B-Instruct,100,100,11.484287814009175,1.483224042218936,22.129018550153464,0.029497050294970503,0.38346165383461656,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,False
classification,macro_f1,glm-4-9b-chat,Qwen3-8B-NonThinking,100,100,8.209057727774315,-1.408437531855616,17.747752942600414,0.09209079092090791,0.7367263273672633,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,False
classification,macro_f1,glm-4-9b-chat,QwQ-32B,100,100,-14.875324443635629,-25.35163065766476,-4.811914191070019,0.0052994700529947,0.0847915208479152,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,False
classification,macro_f1,glm-4-9b-chat,Doubao,100,100,-19.76347572744983,-29.77755480951571,-10.582307996479145,0.00019998000199980003,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,internlm2_5-7b-chat,Mistral-7B-Instruct-v0.3,100,100,20.99956370097341,10.17022080980754,31.45878692667613,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,internlm2_5-7b-chat,Qwen2.5-7B-Instruct,100,100,9.955086115373192,0.39383877041093834,19.831364006567746,0.045795420457954206,0.5037496250374962,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,False
classification,macro_f1,internlm2_5-7b-chat,Qwen3-8B-NonThinking,100,100,6.679856029138332,-4.197333082943596,17.693355408421912,0.22427757224277572,1.0,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,False
classification,macro_f1,internlm2_5-7b-chat,QwQ-32B,100,100,-16.404526142271614,-27.15226948215415,-5.951065061886996,0.0020997900209979003,0.039896010398960104,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,internlm2_5-7b-chat,Doubao,100,100,-21.292677426085817,-31.86780554558757,-11.474233001664965,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,100,100,-11.044477585600221,-21.305246917354815,-0.3090340609109994,0.03849615038496151,0.46195380461953806,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,False
classification,macro_f1,Mistral-7B-Instruct-v0.3,Qwen3-8B-NonThinking,100,100,-14.31970767183508,-25.016482014589396,-3.3577229690082393,0.009099090090990901,0.1364863513648635,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,False
classification,macro_f1,Mistral-7B-Instruct-v0.3,QwQ-32B,100,100,-37.404089843245025,-48.72280504022831,-26.341606303080827,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,Mistral-7B-Instruct-v0.3,Doubao,100,100,-42.29224112705923,-53.004542714909796,-32.06365957123322,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,Qwen2.5-7B-Instruct,Qwen3-8B-NonThinking,100,100,-3.2752300862348593,-13.2531027913868,6.5434068152374,0.5193480651934806,1.0,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,False
classification,macro_f1,Qwen2.5-7B-Instruct,QwQ-32B,100,100,-26.359612257644805,-38.145833508638866,-15.356465027722846,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,Qwen2.5-7B-Instruct,Doubao,100,100,-31.247763541459005,-42.03706492350029,-21.50976544749427,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,Qwen3-8B-NonThinking,QwQ-32B,100,100,-23.084382171409946,-34.170368728186325,-12.958876175459169,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,Qwen3-8B-NonThinking,Doubao,100,100,-27.972533455224145,-40.33141821288327,-16.635336603629934,9.999000099990002e-05,0.005499450054994501,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,True
classification,macro_f1,QwQ-32B,Doubao,100,100,-4.888151283814201,-14.370861737381086,3.7754871985062612,0.2873712628737126,1.0,primary_11_zero_shot_classification,55,two-sided centered paired source-cluster bootstrap approximation,,,10000,,False
qa_v4_5,recoverable_accuracy,Baichuan2-7B-Chat,chatglm3-6b,100,50,-6.0,-18.000000000000004,6.000000000000003,0.47988766169832786,1.0,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,22,28,10000,,False
qa_v4_5,recoverable_accuracy,Baichuan2-7B-Chat,deepseek-llm-7b-chat,100,50,-8.999999999999996,-21.999999999999996,3.9999999999999982,0.18774155899882317,1.0,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,14,23,10000,,False
qa_v4_5,recoverable_accuracy,Baichuan2-7B-Chat,DeepSeek-R1-Distill-Qwen-32B,100,50,-64.0,-75.0,-52.0,9.694461487914918e-17,4.75028612907831e-15,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,3,67,10000,,True
qa_v4_5,recoverable_accuracy,Baichuan2-7B-Chat,glm-4-9b-chat,100,50,-48.0,-59.0,-36.99999999999999,6.123990203832363e-13,2.3883561794946218e-11,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,2,50,10000,,True
qa_v4_5,recoverable_accuracy,Baichuan2-7B-Chat,internlm2_5-7b-chat,100,50,-61.0,-73.0,-48.0,3.947260651543665e-14,1.6973220801637758e-12,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,6,67,10000,,True
qa_v4_5,recoverable_accuracy,Baichuan2-7B-Chat,Mistral-7B-Instruct-v0.3,100,50,-20.0,-30.000000000000004,-10.000000000000004,0.0008213953115046024,0.01724930154159665,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,7,27,10000,,True
qa_v4_5,recoverable_accuracy,Baichuan2-7B-Chat,Qwen2.5-7B-Instruct,100,50,-49.0,-63.0,-34.0,1.363671398024735e-10,4.909217032889046e-09,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,7,56,10000,,True
qa_v4_5,recoverable_accuracy,Baichuan2-7B-Chat,Qwen3-8B-NonThinking,100,50,-60.0,-71.00000000000001,-47.0,2.215352840138473e-14,9.747552496609281e-13,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,5,65,10000,,True
qa_v4_5,recoverable_accuracy,Baichuan2-7B-Chat,QwQ-32B,100,50,-74.0,-83.0,-64.0,1.0587911840678754e-22,5.823351512373315e-21,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,0,74,10000,,True
qa_v4_5,recoverable_accuracy,Baichuan2-7B-Chat,Doubao,100,50,-72.0,-82.0,-61.0,7.940933880509066e-21,4.208694956669805e-19,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,1,73,10000,,True
qa_v4_5,recoverable_accuracy,chatglm3-6b,deepseek-llm-7b-chat,100,50,-2.9999999999999973,-19.0,13.0,0.794843653982861,1.0,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,28,31,10000,,False
qa_v4_5,recoverable_accuracy,chatglm3-6b,DeepSeek-R1-Distill-Qwen-32B,100,50,-58.00000000000001,-68.0,-47.0,8.474124180146703e-16,3.898097122867483e-14,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,2,60,10000,,True
qa_v4_5,recoverable_accuracy,chatglm3-6b,glm-4-9b-chat,100,50,-42.0,-52.02499999999998,-31.999999999999996,7.455210310203242e-09,2.3856672992650374e-07,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,7,49,10000,,True
qa_v4_5,recoverable_accuracy,chatglm3-6b,internlm2_5-7b-chat,100,50,-55.00000000000001,-65.0,-44.99999999999999,8.049116928532385e-16,3.783084956410221e-14,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,1,56,10000,,True
qa_v4_5,recoverable_accuracy,chatglm3-6b,Mistral-7B-Instruct-v0.3,100,50,-14.000000000000002,-27.0,-1.9999999999999962,0.06490864707227217,0.6490864707227217,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,18,32,10000,,False
qa_v4_5,recoverable_accuracy,chatglm3-6b,Qwen2.5-7B-Instruct,100,50,-43.0,-55.99999999999999,-30.999999999999993,9.052391166525231e-09,2.8062412616228216e-07,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,8,51,10000,,True
qa_v4_5,recoverable_accuracy,chatglm3-6b,Qwen3-8B-NonThinking,100,50,-54.0,-64.0,-43.99999999999999,1.582067810090848e-15,7.119305145408816e-14,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,1,55,10000,,True
qa_v4_5,recoverable_accuracy,chatglm3-6b,QwQ-32B,100,50,-68.0,-78.0,-58.00000000000001,6.776263578034403e-21,3.6591823321385775e-19,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,0,68,10000,,True
qa_v4_5,recoverable_accuracy,chatglm3-6b,Doubao,100,50,-65.99999999999999,-76.0,-56.00000000000001,2.710505431213761e-20,1.4094628242311558e-18,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,0,66,10000,,True
qa_v4_5,recoverable_accuracy,deepseek-llm-7b-chat,DeepSeek-R1-Distill-Qwen-32B,100,50,-55.00000000000001,-67.0,-42.00000000000001,1.3821257506541063e-13,5.666715577681836e-12,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,4,59,10000,,True
qa_v4_5,recoverable_accuracy,deepseek-llm-7b-chat,glm-4-9b-chat,100,50,-39.0,-51.0,-27.0,2.706279703008907e-07,7.5775831684249395e-06,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,10,49,10000,,True
qa_v4_5,recoverable_accuracy,deepseek-llm-7b-chat,internlm2_5-7b-chat,100,50,-52.0,-64.0,-40.0,9.084503982403902e-13,3.452111513313483e-11,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,4,56,10000,,True
qa_v4_5,recoverable_accuracy,deepseek-llm-7b-chat,Mistral-7B-Instruct-v0.3,100,50,-11.000000000000004,-24.0,2.9999999999999973,0.15240777196147803,1.0,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,19,30,10000,,False
qa_v4_5,recoverable_accuracy,deepseek-llm-7b-chat,Qwen2.5-7B-Instruct,100,50,-40.0,-52.0,-28.000000000000004,1.5138326148189662e-09,4.9956476289025886e-08,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,4,44,10000,,True
qa_v4_5,recoverable_accuracy,deepseek-llm-7b-chat,Qwen3-8B-NonThinking,100,50,-51.0,-62.0,-40.0,4.2901793229077607e-13,1.716071729163104e-11,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,3,54,10000,,True
qa_v4_5,recoverable_accuracy,deepseek-llm-7b-chat,QwQ-32B,100,50,-65.0,-74.0,-55.00000000000001,5.421010862427522e-20,2.7647155398380363e-18,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,0,65,10000,,True
qa_v4_5,recoverable_accuracy,deepseek-llm-7b-chat,Doubao,100,50,-63.0,-73.0,-52.0,3.577867169202165e-18,1.7889335846010823e-16,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,1,64,10000,,True
qa_v4_5,recoverable_accuracy,DeepSeek-R1-Distill-Qwen-32B,glm-4-9b-chat,100,50,16.000000000000004,6.999999999999995,25.0,0.001543879508972168,0.03087759017944336,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,20,4,10000,,True
qa_v4_5,recoverable_accuracy,DeepSeek-R1-Distill-Qwen-32B,internlm2_5-7b-chat,100,50,3.0000000000000027,-4.0000000000000036,10.000000000000009,0.5810546875,1.0,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,8,5,10000,,False
qa_v4_5,recoverable_accuracy,DeepSeek-R1-Distill-Qwen-32B,Mistral-7B-Instruct-v0.3,100,50,44.0,35.0,53.0,1.3358203432289883e-12,4.942535269947257e-11,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,45,1,10000,,True
qa_v4_5,recoverable_accuracy,DeepSeek-R1-Distill-Qwen-32B,Qwen2.5-7B-Instruct,100,50,15.000000000000002,5.000000000000004,25.0,0.002599477767944336,0.041591644287109375,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,19,4,10000,,True
qa_v4_5,recoverable_accuracy,DeepSeek-R1-Distill-Qwen-32B,Qwen3-8B-NonThinking,100,50,4.0000000000000036,-3.0000000000000027,11.00000000000001,0.4239501953125,1.0,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,9,5,10000,,False
qa_v4_5,recoverable_accuracy,DeepSeek-R1-Distill-Qwen-32B,QwQ-32B,100,50,-9.999999999999998,-16.000000000000004,-5.000000000000004,0.001953125,0.0347900390625,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,0,10,10000,,True
qa_v4_5,recoverable_accuracy,DeepSeek-R1-Distill-Qwen-32B,Doubao,100,50,-7.9999999999999964,-14.000000000000002,-1.9999999999999907,0.03857421875,0.42431640625,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,2,10,10000,,False
qa_v4_5,recoverable_accuracy,glm-4-9b-chat,internlm2_5-7b-chat,100,50,-13.0,-21.999999999999996,-4.999999999999993,0.007197380065917969,0.0935659408569336,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,4,17,10000,,False
qa_v4_5,recoverable_accuracy,glm-4-9b-chat,Mistral-7B-Instruct-v0.3,100,50,27.999999999999996,17.000000000000004,38.00000000000001,8.364584573428147e-06,0.00020911461433570366,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,34,6,10000,,True
qa_v4_5,recoverable_accuracy,glm-4-9b-chat,Qwen2.5-7B-Instruct,100,50,-1.0000000000000009,-10.999999999999998,8.999999999999996,1.0,1.0,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,10,11,10000,,False
qa_v4_5,recoverable_accuracy,glm-4-9b-chat,Qwen3-8B-NonThinking,100,50,-12.0,-20.000000000000007,-3.9999999999999925,0.01181793212890625,0.141815185546875,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,4,16,10000,,False
qa_v4_5,recoverable_accuracy,glm-4-9b-chat,QwQ-32B,100,50,-26.0,-34.0,-18.999999999999993,2.9802322387695312e-08,8.940696716308594e-07,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,0,26,10000,,True
qa_v4_5,recoverable_accuracy,glm-4-9b-chat,Doubao,100,50,-24.0,-31.999999999999996,-15.999999999999993,8.046627044677734e-07,2.1725893020629883e-05,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,1,25,10000,,True
qa_v4_5,recoverable_accuracy,internlm2_5-7b-chat,Mistral-7B-Instruct-v0.3,100,50,41.0,29.999999999999993,52.0,2.4647306418046355e-10,8.626557246316224e-09,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,44,3,10000,,True
qa_v4_5,recoverable_accuracy,internlm2_5-7b-chat,Qwen2.5-7B-Instruct,100,50,12.0,4.0000000000000036,20.999999999999996,0.0018310546875,0.0347900390625,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,13,1,10000,,True
qa_v4_5,recoverable_accuracy,internlm2_5-7b-chat,Qwen3-8B-NonThinking,100,50,1.0000000000000009,-3.0000000000000027,5.000000000000004,1.0,1.0,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,3,2,10000,,False
qa_v4_5,recoverable_accuracy,internlm2_5-7b-chat,QwQ-32B,100,50,-13.0,-18.999999999999993,-6.999999999999995,0.000244140625,0.00537109375,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,0,13,10000,,True
qa_v4_5,recoverable_accuracy,internlm2_5-7b-chat,Doubao,100,50,-10.999999999999998,-16.999999999999993,-5.999999999999995,0.00341796875,0.05126953125,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,1,12,10000,,False
qa_v4_5,recoverable_accuracy,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,100,50,-28.999999999999996,-41.0,-16.000000000000004,1.5374090196473844e-05,0.00036897816471537226,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,8,37,10000,,True
qa_v4_5,recoverable_accuracy,Mistral-7B-Instruct-v0.3,Qwen3-8B-NonThinking,100,50,-40.0,-51.0,-28.999999999999993,4.6219383875722997e-10,1.571459051774582e-08,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,3,43,10000,,True
qa_v4_5,recoverable_accuracy,Mistral-7B-Instruct-v0.3,QwQ-32B,100,50,-54.0,-63.0,-44.99999999999999,1.1102230246251565e-16,5.329070518200751e-15,primary_11_zero_shot_qa_v4_5,55,two-sided exact McNemar on paired item correctness,0,54,10000,,True
